ip_address,hostname,os,services,open_ports,last_scan,vulnerabilities,risk_score,asset_type,owner,location
192.168.1.10,web-server-01,"Ubuntu 20.04",apache2,"80,443",2024-01-15 10:00:00,3,medium,server,"IT Department","Data Center A"
192.168.1.20,db-server-01,"CentOS 8",postgresql,5432,2024-01-15 10:05:00,1,low,server,"IT Department","Data Center A"
192.168.1.30,mail-server-01,"Ubuntu 22.04",postfix,"25,587,993",2024-01-15 10:10:00,2,low,server,"IT Department","Data Center A"
192.168.1.40,file-server-01,"Windows Server 2019",smb,445,2024-01-15 10:15:00,5,high,server,"IT Department","Data Center A"
192.168.1.50,dns-server-01,"Ubuntu 20.04",bind9,53,2024-01-15 10:20:00,1,low,server,"IT Department","Data Center A"
192.168.1.100,workstation-01,"Windows 11",rdp,3389,2024-01-15 10:25:00,4,medium,workstation,"HR Department","Office Floor 1"
192.168.1.101,workstation-02,"Windows 11",rdp,3389,2024-01-15 10:30:00,3,medium,workstation,"Finance Department","Office Floor 1"
192.168.1.102,workstation-03,"Windows 11",rdp,3389,2024-01-15 10:35:00,6,high,workstation,"IT Department","Office Floor 2"
192.168.1.200,printer-01,"Embedded Linux",cups,631,2024-01-15 10:40:00,2,low,printer,"IT Department","Office Floor 1"
192.168.1.201,printer-02,"Embedded Linux",cups,631,2024-01-15 10:45:00,1,low,printer,"IT Department","Office Floor 2"
192.168.1.250,router-01,"Cisco IOS",ssh,22,2024-01-15 10:50:00,2,low,network,"IT Department","Network Closet"
192.168.1.251,switch-01,"Cisco IOS",ssh,22,2024-01-15 10:55:00,1,low,network,"IT Department","Network Closet"
192.168.1.252,firewall-01,FortiOS,https,443,2024-01-15 11:00:00,3,medium,network,"IT Department","Network Closet"
192.168.1.253,firewall-02,FortiOS,https,443,2024-01-15 11:05:00,2,low,network,"IT Department","Network Closet"
192.168.1.254,gateway-01,Linux,ssh,22,2024-01-15 11:10:00,4,medium,network,"IT Department","Network Closet"
